stem_hi1.aif,stem_hi2.aif,stem_mid.aif,stem_low1.aif,stem_low2.aif
0.000,0.017,0.000,0.000,0.000
0.000,0.017,0.000,0.000,0.000
0.000,0.018,0.000,0.000,0.000
0.000,0.017,0.000,0.000,0.000
0.000,0.022,0.000,0.000,0.000
0.000,0.021,0.000,0.000,0.000
0.000,0.021,0.000,0.000,0.000
0.000,0.015,0.000,0.000,0.000
0.000,0.017,0.000,0.000,0.000
0.000,0.016,0.000,0.000,0.000
0.000,0.021,0.000,0.000,0.000
0.000,0.022,0.000,0.000,0.000
0.000,0.020,0.000,0.000,0.000
0.000,0.016,0.000,0.000,0.000
0.000,0.021,0.000,0.000,0.000
0.000,0.024,0.000,0.000,0.000
0.000,0.018,0.000,0.000,0.000
0.000,0.015,0.000,0.000,0.000
0.000,0.016,0.000,0.000,0.000
0.000,0.020,0.000,0.001,0.000
0.000,0.021,0.000,0.087,0.000
0.006,0.018,0.005,0.705,0.000
0.018,0.017,0.008,0.727,0.015
0.013,0.020,0.007,0.594,0.130
0.009,0.021,0.009,0.597,0.203
0.006,0.024,0.011,0.506,0.715
0.004,0.020,0.009,0.474,0.914
0.002,0.017,0.010,0.418,0.835
0.002,0.016,0.008,0.278,0.733
0.001,0.017,0.006,0.226,0.680
0.001,0.021,0.006,0.104,0.663
0.001,0.057,0.007,0.035,0.643
0.012,0.026,0.004,0.008,0.629
0.018,0.020,0.006,0.008,0.615
0.021,0.025,0.007,0.003,0.605
0.016,0.024,0.005,0.002,0.595
0.008,0.016,0.007,0.000,0.588
0.005,0.016,0.010,0.000,0.583
0.003,0.015,0.007,0.000,0.578
0.002,0.022,0.006,0.000,0.576
0.001,0.016,0.006,0.000,0.575
0.001,0.021,0.005,0.000,0.574
0.001,0.019,0.005,0.000,0.575
0.013,0.017,0.005,0.000,0.576
0.030,0.020,0.006,0.000,0.575
0.020,0.017,0.004,0.000,0.575
0.012,0.017,0.005,0.000,0.574
0.006,0.016,0.006,0.000,0.572
0.004,0.018,0.009,0.000,0.570
0.003,0.019,0.007,0.000,0.568
0.002,0.017,0.010,0.000,0.565
0.002,0.015,0.007,0.000,0.560
0.002,0.019,0.006,0.000,0.555
0.047,0.023,0.005,0.000,0.549
0.777,0.029,0.006,0.000,0.543
0.784,0.025,0.004,0.000,0.541
0.462,0.019,0.005,0.000,0.533
0.236,0.017,0.006,0.000,0.543
0.094,0.020,0.004,0.000,0.471
0.041,0.025,0.005,0.000,0.382
0.020,0.024,0.011,0.000,0.340
0.012,0.020,0.010,0.000,0.301
0.008,0.018,0.009,0.000,0.304
0.006,0.027,0.009,0.000,0.291
0.005,0.021,0.009,0.000,0.282
0.004,0.020,0.009,0.000,0.277
0.005,0.017,0.008,0.000,0.270
0.003,0.022,0.011,0.000,0.237
0.003,0.023,0.007,0.000,0.137
0.003,0.026,0.009,0.000,0.095
0.003,0.021,0.008,0.000,0.046
0.003,0.026,0.008,0.000,0.023
0.002,0.026,0.007,0.000,0.012
0.002,0.033,0.007,0.000,0.006
0.002,0.022,0.006,0.000,0.003
0.002,0.025,0.005,0.000,0.002
0.002,0.025,0.006,0.000,0.002
0.013,0.015,0.007,0.000,0.003
0.019,0.014,0.004,0.000,0.034
0.013,0.019,0.007,0.000,0.037
0.010,0.016,0.006,0.000,0.032
0.006,0.013,0.006,0.000,0.039
0.004,0.020,0.005,0.000,0.031
0.003,0.021,0.007,0.000,0.027
0.002,0.018,0.006,0.000,0.025
0.001,0.014,0.005,0.000,0.027
0.001,0.017,0.006,0.000,0.027
0.005,0.021,0.006,0.000,0.026
0.037,0.051,0.006,0.000,0.020
0.042,0.029,0.006,0.000,0.017
0.025,0.023,0.007,0.000,0.017
0.014,0.020,0.005,0.000,0.019
0.009,0.022,0.005,0.000,0.016
0.005,0.019,0.007,0.000,0.015
0.003,0.022,0.006,0.000,0.017
0.002,0.027,0.005,0.000,0.016
0.001,0.026,0.006,0.000,0.021
0.001,0.014,0.007,0.000,0.018
0.002,0.014,0.005,0.000,0.018
0.022,0.020,0.006,0.000,0.252
0.044,0.017,0.006,0.000,0.417
0.032,0.021,0.005,0.000,0.229
0.025,0.014,0.006,0.000,0.151
0.016,0.014,0.006,0.000,0.088
0.011,0.018,0.006,0.000,0.041
0.007,0.015,0.008,0.000,0.025
0.005,0.014,0.016,0.000,0.016
0.004,0.018,0.051,0.000,0.022
0.003,0.016,0.042,0.004,0.029
0.004,0.014,0.082,0.222,0.026
0.022,0.014,0.115,0.945,0.008
0.032,0.014,0.292,0.721,0.003
0.017,0.011,0.407,0.603,0.107
0.010,0.019,0.327,0.591,0.190
0.005,0.016,0.260,0.493,0.567
0.003,0.017,0.232,0.457,0.771
0.002,0.025,0.275,0.410,0.702
0.001,0.017,0.413,0.267,0.617
0.001,0.014,0.443,0.211,0.580
0.001,0.019,0.447,0.091,0.565
0.002,0.019,0.382,0.031,0.561
0.011,0.015,0.369,0.011,0.558
0.016,0.023,0.323,0.017,0.555
0.023,0.011,0.308,0.015,0.551
0.016,0.014,0.300,0.014,0.548
0.009,0.014,0.322,0.009,0.545
0.005,0.016,0.292,0.004,0.542
0.003,0.013,0.340,0.001,0.539
0.002,0.014,0.309,0.000,0.535
0.001,0.016,0.258,0.000,0.531
0.001,0.017,0.235,0.002,0.527
0.001,0.015,0.161,0.094,0.523
0.004,0.013,0.204,0.848,0.520
0.011,0.013,0.380,0.805,0.516
0.010,0.014,0.284,0.601,0.511
0.007,0.015,0.266,0.613,0.506
0.003,0.015,0.293,0.519,0.501
0.002,0.009,0.327,0.483,0.495
0.002,0.014,0.367,0.422,0.489
0.001,0.015,0.403,0.292,0.483
0.001,0.015,0.317,0.235,0.477
0.001,0.022,0.248,0.116,0.470
0.001,0.014,0.219,0.039,0.464
0.020,0.012,0.223,0.011,0.457
0.073,0.014,0.179,0.017,0.458
0.068,0.011,0.187,0.015,0.388
0.040,0.010,0.187,0.015,0.596
0.019,0.014,0.206,0.009,0.696
0.010,0.013,0.185,0.005,0.542
0.005,0.013,0.160,0.001,0.509
0.004,0.011,0.175,0.000,0.476
0.003,0.011,0.333,0.000,0.459
0.003,0.011,0.210,0.000,0.448
0.055,0.016,0.220,0.000,0.436
0.792,0.011,0.264,0.000,0.430
0.812,0.008,0.277,0.000,0.425
0.546,0.012,0.296,0.000,0.308
0.363,0.013,0.358,0.000,0.246
0.228,0.041,0.405,0.000,0.130
0.166,0.031,0.408,0.000,0.058
0.135,0.015,0.409,0.000,0.028
0.110,0.012,0.435,0.000,0.014
0.091,0.011,0.440,0.000,0.008
0.079,0.011,0.299,0.000,0.005
0.067,0.034,0.246,0.000,0.004
0.063,0.033,0.215,0.000,0.004
0.063,0.009,0.171,0.000,0.003
0.064,0.015,0.159,0.000,0.003
0.050,0.015,0.158,0.000,0.003
0.038,0.012,0.152,0.000,0.003
0.029,0.012,0.106,0.000,0.002
0.021,0.008,0.096,0.000,0.002
0.018,0.012,0.090,0.000,0.002
0.015,0.013,0.077,0.000,0.002
0.013,0.010,0.058,0.000,0.002
0.010,0.009,0.066,0.000,0.002
0.006,0.009,0.073,0.000,0.008
0.010,0.010,0.086,0.000,0.011
0.017,0.011,0.100,0.000,0.010
0.015,0.015,0.094,0.000,0.019
0.013,0.014,0.076,0.000,0.017
0.008,0.012,0.065,0.000,0.010
0.004,0.009,0.067,0.000,0.008
0.003,0.009,0.074,0.000,0.011
0.002,0.024,0.086,0.000,0.009
0.002,0.020,0.094,0.000,0.006
